contig,Virus_class,Host_order,Lyt_Lys,Animal_host
k141_135924_AM_X3_bin_5_orig,Caudoviricetes,Flavobacteriales,Lysogenic,Ambystoma mexicanum
k141_274931_AM_X3_bin_5_orig_fragment_1,Caudoviricetes,Flavobacteriales,Lysogenic,Ambystoma mexicanum
N_16293_len_28863_cycle_0,Caudoviricetes,Flavobacteriales,Lytic,Ambystoma mexicanum
N_19721_len_20494_cycle_0,Caudoviricetes,Burkholderiales,Lysogenic,Ambystoma mexicanum
N_28022_len_19338_cycle_0,Caudoviricetes,Mycobacteriales,Lytic,Ambystoma mexicanum
N_28103_len_38393_cycle_1,Caudoviricetes,Enterobacterales,Lytic,Ambystoma mexicanum
N_3_len_7569_cycle_0,Caudoviricetes,Enterobacterales,Lytic,Ambystoma taylori
N_39617_len_27357_cycle_0,Caudoviricetes,Burkholderiales,Lysogenic,Ambystoma mexicanum
NODE_1_length_26585_cov_5.614735_AM_X3_bin_2_permissive,Caudoviricetes,Nanopelagicales,Lysogenic,Ambystoma mexicanum
NODE_29_length_35341_cov_10.260577_AM_X1_bin_4_strict,Caudoviricetes,Burkholderiales,Lysogenic,Ambystoma mexicanum
NODE_3_length_14900_cov_4.022195_AM_X3_bin_1_permissive,Caudoviricetes,Chitinophagales,Lysogenic,Ambystoma mexicanum
NODE_64_length_14526_cov_6.215171_AM_X3_bin_3_strict,Caudoviricetes,Burkholderiales,Lysogenic,Ambystoma mexicanum
N_8053_len_9432_cycle_1,Faserviricetes,Burkholderiales,Lysogenic,Ambystoma mexicanum
